Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:69ZEgPX0hxWXJIqkTlYz41,"Iridescent","A Thousand Suns","Linkin Park",2010-09-08,296560,66,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.484,0.727,0,-6.107,1,0.0358,0.198,0.00204,0.107,0.216,120.066,4
spotify:track:5Phqm7iMAdEQ3wxhqas3Nj,"Fallout","A Thousand Suns","Linkin Park",2010-09-08,83053,41,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.108,0.151,7,-19.382,1,0.0388,0.861,0.464,0.111,0.0333,168.514,3
spotify:track:5bvgRxco3jgSZ3SP8rueDA,"The Catalyst","A Thousand Suns","Linkin Park",2010-09-08,339853,67,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.56,0.925,0,-5.48,1,0.0362,0.0372,0,0.104,0.178,135.009,4
spotify:track:0pQZMrYNcfwZbt2Zt0pjaA,"The Messenger","A Thousand Suns","Linkin Park",2010-09-08,181893,53,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.527,0.209,7,-12.113,1,0.0283,0.72,0,0.116,0.362,62.663,4
spotify:track:2oNYsdCasRRlz1shXFAz7D,"LOST IN THE ECHO","LIVING THINGS","Linkin Park",2012-06-19,205120,71,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.546,0.98,9,-3.02,0,0.0619,0.0154,0,0.31,0.478,120.037,4
spotify:track:00KfIFi2TpAaQGPbRbFbKJ,"IN MY REMAINS","LIVING THINGS","Linkin Park",2012-06-19,200693,67,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.553,0.907,9,-5.623,0,0.0484,0.00401,0,0.266,0.451,100.967,4
spotify:track:7oVEtyuv9NBmnytsCIsY5I,"BURN IT DOWN","LIVING THINGS","Linkin Park",2012-06-19,230253,81,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.585,0.972,9,-4.45,0,0.0534,0.0143,0,0.0707,0.585,110.006,4
spotify:track:3aZQQWGNShP6IzzaprPlFX,"LIES GREED MISERY","LIVING THINGS","Linkin Park",2012-06-19,146493,55,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.545,0.962,7,-4.552,1,0.14,0.0133,0,0.059,0.539,160.017,4
spotify:track:3cQGb2POE359G9WH81bF60,"I'LL BE GONE","LIVING THINGS","Linkin Park",2012-06-19,211093,58,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.501,0.927,7,-4.58,1,0.0292,0.00686,0,0.131,0.611,139.961,4
spotify:track:1r1fPuhj9H4VdXr7OK6FL5,"CASTLE OF GLASS","LIVING THINGS","Linkin Park",2012-06-19,205400,77,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108,4
spotify:track:35jdp4bY3CABKBroODRq7Y,"VICTIMIZED","LIVING THINGS","Linkin Park",2012-06-19,106360,52,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.557,0.99,2,-3.902,1,0.194,0.0818,0.0000314,0.373,0.128,95.055,4
spotify:track:1dYw8HTRJnFpeEeMtXj99a,"ROADS UNTRAVELED","LIVING THINGS","Linkin Park",2012-06-19,229933,69,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.599,0.788,8,-6.25,0,0.0294,0.263,0.00525,0.155,0.581,100.001,3
spotify:track:4JqgUZ4yZqjeEmgJNsuUjX,"SKIN TO BONE","LIVING THINGS","Linkin Park",2012-06-19,168346,55,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.471,0.977,9,-3.593,0,0.054,0.0435,0.0777,0.433,0.762,159.992,4
spotify:track:2ww2xnkptug8KwF6XzEwMq,"UNTIL IT BREAKS","LIVING THINGS","Linkin Park",2012-06-19,223400,50,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.316,0.835,2,-6.67,1,0.321,0.0489,0.000774,0.287,0.415,170.061,4
