TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
3.482993197,0.0443115,0.12647,0.000326857,0.972217,1.25045,0.329573,0.0373418,2.87377,0.0537533,0,0.707916,0.342684
3.529433107,0.366958,0.0478659,0.0967889,0.759811,0.890713,0.0988401,0.00789641,2.84868,0.352282,0.113617,0.59163,0.558031
3.575873016,1.00207,0.049036,0.286843,0.18602,1.69018,0.00250131,0.081512,2.38435,0.993663,0.117615,0.254566,0.0062531
3.622312925,1.14272,0,0.689462,0.0456824,2.47218,0,0.375637,1.55936,1.05205,0.0104598,0.185145,0.000106123
3.668752834,0.963404,0,0.851852,0.0759101,2.70594,0.00155137,0.531029,1.02818,1.24428,0.271374,0.226566,0.0252499
3.715192744,0.390949,0.131727,0.77803,0.109122,2.86985,0.00309638,0.383034,1.14314,1.31342,0.346448,0.295093,0.0291755
3.761632653,0.225735,0.344852,0.759817,0.127324,2.61493,0.0211056,0.249008,1.09877,0.498112,0.0180897,0.31887,0.117435
3.808072562,0,0.658247,0.440491,0.448212,2.548,0.294129,0.0167695,1.03461,0.0827313,0.790273,0,0.0476884
3.854512472,0.0505596,1.11824,0.437321,0.548237,2.41827,0.0471634,0,0.537926,0.405335,1.70265,0.131467,0
3.900952381,0.0291504,1.276,0.431989,0.549392,2.50715,0.143695,0,0.495917,0.341886,2.32534,0.148614,0.104211
3.947392290,0.0131835,1.48333,0.570386,0.407065,2.55207,0.229209,0.061092,0.300957,0.180118,2.9669,0.154103,0.0665268
3.993832200,0.0157897,1.46638,0.522937,0.456242,2.70845,0.0317933,0.215648,0.221821,0.138725,3.44803,0.142839,0
4.040272109,0.0924627,1.28009,0.273384,0.570828,2.56461,0.00185641,0.220176,0.145644,0.0543807,4.10141,0.106107,0
4.086712018,0.476175,1.06849,0.0255861,0.29862,2.42433,0.00308185,0.207126,0,0.0227332,4.22566,0.319618,0
4.133151927,0.181552,1.03771,0.00957906,0.03793,2.58336,0,0,0,0.0109114,4.21137,0.367198,0
4.179591837,0.0173166,1.06006,0.283841,0.0122295,2.57251,0,0,0.0193779,0.0103789,4.15761,0.199646,0
4.226031746,0.031269,1.16749,0.764419,0.0229622,2.437,0,0,0.0619729,0.00927665,4.03939,0.109111,0
4.272471655,0.0385532,1.16849,0.848392,0.0610024,2.26704,0,0,0.0813688,0.0116935,4.12457,0.122729,0
4.318911565,0.0711374,1.09042,0.550143,0.130405,2.14563,0,0,0.0969875,0.0100334,4.2229,0.214882,0
4.365351474,0.130963,1.07554,0.262396,0.058149,2.15249,0,0,0.170448,0.0137032,4.28375,0.23702,0
4.411791383,0.0955208,1.12478,0.463932,0.0551041,2.2427,0,0,0.089927,0.0103018,4.17523,0.116338,0
4.458231293,0.0985428,1.17191,0.731429,0.0591685,2.19063,0,0,0.0930935,0.010198,4.07248,0.0509066,0
4.504671202,0.107583,1.13387,0.747083,0.0544239,2.12543,0,0,0.0894776,0.012418,4.09027,0.0772075,0
4.551111111,0.0969278,1.05086,0.677628,0.0500387,2.16096,0,0,0.0807618,0.0153995,4.13949,0.0854931,0
4.597551020,0.0992531,1.23112,0.288768,0.0449903,2.20824,0,0,0.0854309,0.0149987,4.20136,0.0894333,0
4.643990930,0.79505,1.24627,0.00755834,0.0321172,1.96754,0,0,0.0974651,0.0105894,4.25594,0.0667481,0
4.690430839,1.34524,1.28079,0.0195124,0.130298,1.72124,0,0.000268933,0.0665072,0.0219075,3.87881,0.0612707,0
4.736870748,1.59344,1.15342,0.00020305,0.112783,1.79225,0,0,0.0301566,0.0147996,3.7022,0.0589658,0
4.783310658,1.7164,0.801365,0.0136353,0.0866236,1.80623,0,0.00229626,0.0489022,0.00289745,3.62714,0.0425692,0
4.829750567,1.72748,0.752809,0.0589951,0.0314357,1.77106,0,0,0.0848036,0.0101122,3.47218,0.022846,0
4.876190476,1.65077,0.950816,0.056501,0.000305448,1.76853,0,0,0.117093,0.0269466,3.35835,0.02032,0.000361922
4.922630385,1.6012,0.986612,0.112692,0.0189837,1.86948,0,0,0.147391,0.0138334,3.09308,0.0338111,0.000529432
4.969070295,1.73668,0.840507,0.0865476,0.0426002,1.86294,0,0.0109077,0.225148,0.00101744,2.88617,0.0433934,0.000443169
5.015510204,1.76741,0.811886,0.0773796,0.0751033,1.75504,0.00650359,0.0336922,0.199035,0.00496902,2.73662,0.0583139,0.000254535
5.061950113,1.65476,0.98807,0.163475,0.236771,1.5466,0,0.070347,0.191143,0.0266623,2.97483,0.0931713,0
