TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
121.557333333,2.68415,0.00543649,0.232369,0.152681,0.88871,2.45181,0.0619223,0.488057,0.506805,0.289411,0.52585,0.404812
121.600000000,2.10101,0.429447,0.419241,0.109102,0.710419,2.39656,0.228337,0.388326,0.980019,0.029827,0.0353139,0.947446
121.642666667,1.60911,0.756583,0.732794,0.0534446,0.479735,1.9834,0.329165,0.188847,1.12418,0.000458022,0.393168,1.11919
121.685333333,1.37099,0.838051,0.808677,0,0.265843,1.9181,0.28694,0.203032,1.11872,0.0127656,0.971186,1.07127
121.728000000,1.41003,0.657411,1.0673,0,0.281736,1.98573,0.265923,0.337764,0.984807,0.0491533,1.10961,0.800687
121.770666667,1.6309,0.0968169,1.03004,0,0.334328,2.32584,0.0300818,0.439341,0.655965,0.0857736,0.929211,0.527798
121.813333333,1.70572,0.0344961,0.317851,0.0195069,0.443218,2.34547,0,0.533876,0.415557,0.623974,0.849093,0.666642
121.856000000,1.94054,0.100302,0.0495141,0.00162772,0.612288,2.17334,0,0.543774,0.330794,0.755577,0.989344,0.968806
121.898666667,1.5285,0.726154,0.216191,0.0353946,0.845574,2.05207,0.0313981,0.421581,0.266568,0.431165,1.26018,0.98371
121.941333333,2.10489,0.551157,0.292018,0.47364,0.687494,2.12081,0.0451647,0.395498,0.033429,0.180304,0.848296,0.735587
121.984000000,2.53264,0.0511194,0.1334,0.56863,0.53062,2.30004,0.0502165,0.318135,0.107736,0.26368,0.666758,0.387142
122.026666667,2.87709,0.000308539,0.0844123,0.539659,0.381536,2.23095,0,0.367526,0.159841,0.217376,0.801355,0.562458
122.069333333,2.92418,0,0.0251264,0.241104,0.155542,2.59808,0.00449658,0.460165,0.134063,0.0532075,0.808953,0.611826
122.112000000,2.85602,0.010761,0.00305805,0.0446505,0.287756,2.82203,0.267052,0.41007,0.125002,0.00339325,1.12433,0.339541
122.154666667,2.81783,0.0163231,0.00118194,0.105725,0.127805,2.53608,0.433014,0.450301,0.105036,0.274074,1.31252,0.106037
122.197333333,2.73438,0.321654,0.108012,0.343999,0.114684,2.28541,0.0256098,0.550823,0.402625,0.269542,1.00856,0.115897
122.240000000,2.73817,0.373641,0.0595935,0.381459,0.121019,2.15561,0.181423,0.518987,0.843508,0.101661,1.00098,0
122.282666667,2.34273,0.584704,0.135024,0.209883,0.107633,1.56128,0.459887,0.431667,1.15181,0.0563067,1.10406,0.0588613
122.325333333,2.034,0.676639,0.308329,0.064918,0.125449,1.58936,0.378077,0.440046,1.19473,0.240353,0.755648,0.268315
