TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
171.584000000,-142.778,7.00313,-4.65642,-1.8995,6.01232,1.26705,-1.07656,1.69695,2.89054,1.95185,3.85389,2.59776,4.59417,1.58319,-0.826421,-1.91864,-1.59095,0.498122,-0.920822,4.60654,0.577065
171.605333333,-145.492,5.72698,-1.28321,-0.965687,4.71032,-0.739585,-2.90885,4.65134,3.46359,4.39308,4.7152,3.26236,1.60511,0.615118,1.52887,-1.0264,-1.89383,1.18041,1.20457,4.82046,1.44507
171.626666667,-145.946,6.38161,-2.98841,0.133948,3.43308,-1.1156,-2.34078,5.03084,1.12729,2.49699,7.32576,3.5602,2.54857,2.4183,1.52863,-0.947848,1.37903,0.0809067,1.09853,5.14348,1.21685
171.648000000,-142.448,8.17062,-0.299561,-2.1967,1.57049,-0.538621,-1.36074,1.43243,1.87752,0.968168,6.27943,4.08775,2.79672,-0.911236,0.423578,0.490051,1.31197,1.41486,1.4702,2.73967,-0.636094
171.669333333,-146.978,7.95246,-3.57294,0.14664,1.6817,1.05937,-3.59919,3.32341,-0.632502,0.882398,3.64144,2.6847,3.57698,0.542671,1.48565,-0.523403,-0.715205,-1.26858,0.443192,3.02908,-0.0911848
171.690666667,-139.707,-3.54351,3.4711,2.17573,-3.97496,6.55266,-2.1801,2.42616,-2.53803,0.192102,0.430744,-1.79556,3.37887,0.723756,0.13101,1.78231,-1.24325,1.19199,-0.898741,-0.628089,-0.554708
171.712000000,-143.254,-4.64092,2.2891,0.527463,-6.28078,6.40767,-8.26527,1.28923,0.135306,-1.64445,0.974372,-0.200197,3.14187,3.57787,1.98403,-0.819993,-1.51328,-0.341902,2.10723,0.747778,0.695385
171.733333333,-143.325,-5.49621,1.87503,2.36791,-5.68101,5.15607,-9.18298,0.0356511,0.965557,-0.907078,-0.323984,-3.01203,1.58352,2.96643,0.784262,0.699252,-1.96449,1.39641,0.63618,-1.99661,-1.01383
171.754666667,-140.628,-3.06785,2.29933,4.55976,-5.85686,5.48912,-6.9731,0.370756,-1.33532,-1.42851,-0.0161777,-2.30586,-1.01599,1.56033,2.49026,2.70814,0.785145,-0.168111,1.37495,-0.889129,-0.920026
171.776000000,-140.198,-3.85519,5.89855,6.60243,-2.90995,5.77011,-6.04426,2.34602,-2.39156,-0.635628,-1.4823,-3.9245,1.99402,-1.08941,-0.715571,3.47068,1.05236,-0.298595,0.931284,0.868236,1.30111
