TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
114.133333333,1.45794,0.0324205,0,1.61151,0.0927751,0.906008,0.24302,2.42982,0.044065,0.00618029,1.61201,0.091978
114.176000000,1.84802,0.0219774,0,1.28484,0.0795899,1.10165,0.0506215,2.51367,0.0295403,0.00372909,1.49395,0.274561
114.218666667,2.2019,0.0241514,0.150366,0.849163,0.0932308,1.31053,0.0240705,2.36186,0.0391088,0.00218093,1.41717,0.33091
114.261333333,2.47681,0.019669,0.214245,0.996124,0.180093,1.2899,0.304781,2.20349,0.0968019,0.000980794,1.11659,0.189162
114.304000000,2.64069,0.0307653,0.146401,1.47221,0.131339,1.47306,0.548287,1.8031,0,0.0821131,0.688484,0.291293
114.346666667,2.40762,0.0413555,0.0088399,1.48342,0.170291,2.24512,0.210998,1.63145,0,0.0664793,0.717358,0.610189
114.389333333,2.25771,0.0318532,0.0673876,1.15955,0.226056,2.52488,0.166437,1.70743,0,0.458511,1.15186,0.610869
114.432000000,2.27074,0.0234768,0.0797721,1.11898,0.106665,2.68967,0.135368,1.55757,0,0.648832,1.11882,0.611631
114.474666667,2.47794,0.0133804,0.0726012,1.37698,0.116453,2.65834,0.246447,1.58158,0,0.644703,0.917873,0.332612
114.517333333,2.47441,0.0019828,0.0739565,1.33839,0.12804,2.76268,0.2092,1.73053,0,0.530661,0.977566,0.248767
114.560000000,2.36931,0.00563462,0,1.0231,0.480348,2.21341,0.0757575,1.86369,0.484777,0.244643,1.30988,0.0166344
114.602666667,2.38636,0.00258045,0,1.14878,0.610754,1.92476,0.231917,1.9513,0.299629,0.153608,1.02595,0.00893748
114.645333333,2.52406,0.0137641,0,1.46509,0.528344,2.16155,0.624505,1.66065,0.0521327,0.110879,0.562371,0.0453254
114.688000000,2.48498,0.0246846,0.000946376,1.35284,0.407801,2.37527,0.416256,1.55312,0.045626,0.0346577,0.277688,0.123045
114.730666667,2.42147,0.0322638,0.00125563,1.07993,0.19295,2.39997,0.026412,1.58305,0.0740781,0.0384249,0.169842,0.342452
114.773333333,2.04841,0.367638,0.0225144,0.791053,0.195587,2.31939,0.109149,1.46653,0.000336924,0.0173383,0.293695,0.206097
114.816000000,1.78614,0.479428,0.0454971,0.487749,0.251758,1.96065,0.194474,0.82282,0.000594172,0.235551,0.0494638,0.144918
114.858666667,2.21994,0.39202,0.0336194,0.646301,0.261051,1.19692,0.300236,0.430254,0.0820249,0.271208,0.264495,0.221034
114.901333333,2.6658,0.407265,0.201677,0.666125,0.331919,0.96421,0.0677831,0.390305,0.107934,2.0233e-06,0.21011,0.285029
114.944000000,2.84357,0.195787,0.406222,0.114321,0.411251,0.807567,0.00863748,0.388883,0.599185,0.000657497,0.452064,0.606245
114.986666667,3.13349,0,0.552337,0.0244788,0.421105,0.147877,0,0.424051,0.483718,0.00152177,0.637334,0.762267
115.029333333,3.11171,0.132137,0.526836,0.176697,0.31308,0.239769,0,0.537159,0.573997,0.00163736,0.544551,0.747586
115.072000000,3.01474,0.335108,0.405953,0.260481,0.220767,0,0.0136445,0.595975,0.622561,0.00188069,0.926529,0.167536
115.114666667,2.89725,0.191084,0.661031,0.471577,0.32846,0.31934,0.040279,0.39592,0.137276,0.00187534,1.12251,0.0788085
115.157333333,2.69947,0.240252,0.707332,0.640299,0.511935,0.391022,0.0193452,0.288165,0.285536,0.0475297,1.18599,0.0710138
115.200000000,2.73781,0.110308,0.67349,0.676991,0.437439,0.114541,0,0.253707,0.925744,0.105973,0.925907,0.0428835
115.242666667,2.62115,0.0348309,0.705839,0.762814,0.485852,0.33036,0,0.313112,1.06829,0.105407,0.971125,0.0743092
115.285333333,2.84584,0.015007,0.947532,0.489995,0.27276,0.246096,0.157592,0.329701,0.674844,0.0761915,1.27927,0.0452273
115.328000000,3.25462,0.00748055,0.733557,0.571973,0.451851,0.303431,0.172474,0.286586,0.46938,0.0497029,1.29473,0
115.370666667,3.25537,0.00128756,0.243721,0.680145,0.618585,0.0275186,0.0688521,0.284772,0.186945,0.0493863,1.09267,0.212497
115.413333333,2.75066,0.071207,0.0707088,0.686484,0.370769,0.841875,0.115268,0.421117,0.00668258,0.148435,0.765001,0.369443
115.456000000,2.58323,0.235545,0.162387,0.346621,0.338695,1.50478,0.0630737,0.597796,0.0416408,0.120702,0.334844,0.232165
115.498666667,2.59197,0.18745,0.330119,0.0856311,0.491015,1.75958,0.0359352,0.630112,0.054695,0.00148241,0.275263,0
115.541333333,2.67323,0.308642,0.290046,0.24358,0.683685,1.70093,0.00395616,0.659599,0.0107379,0.038684,0.236755,0.0241296
115.584000000,2.65285,0.339507,0.245249,0.361276,0.93778,1.36819,0.179126,0.996938,0,0.0123778,0.284693,0.103193
115.626666667,2.71765,0.248084,0.140857,0.477415,0.868491,1.14812,0.325343,1.07792,0,0.00021604,0.403079,0.237037
115.669333333,2.4961,0.131849,0.188451,0.518565,0.390056,1.14462,0.450236,0.787299,0.193908,0.000466776,0.472254,0.813814
115.712000000,2.11821,0.692175,0.24179,0.224547,0.25688,1.02855,0,0.519278,0.280917,0.459348,0.584368,1.17679
115.754666667,1.60655,0.812062,0.548018,0.00600232,0.211323,1.20646,0,1.00561,0.154912,0.594716,0.290534,1.01315
115.797333333,1.95028,0.870447,0.510946,0.00562443,0.299661,1.22474,0.00885959,1.20963,0.067904,0.632574,0.1313,0.211688
115.840000000,2.60426,0.520239,0.198946,0.117846,0.489684,0.699946,0.0517519,1.26717,0.0384633,0.581701,0.0458434,0.0493617
115.882666667,2.73355,0.318467,0.0768143,0.371979,0.438836,0.43353,0.0649623,1.0943,0.0835807,0.506495,0.152666,0.203873
115.925333333,2.62672,0.0902741,0.0939903,0.94205,0.465434,0.667678,0,0.598715,0.166315,0.271741,0.201628,0.119038
115.968000000,2.61059,0.0587934,0.45476,1.25956,0.45462,0.678908,0.0297251,0.513255,0.134219,0.00721891,0.294131,0.00351734
116.010666667,2.82457,0.0116621,0.750353,1.02177,0.368673,0.5541,0.483704,0.949249,0.141648,0.0712666,0.50091,0
116.053333333,2.98297,0.103443,0.858945,0.558543,0.344396,0.379106,0.652045,1.1437,0.131306,0.0929758,0.376019,0
116.096000000,2.98363,0.253672,1.02836,0.270387,0.336426,0.420419,0.521315,1.11184,0.0966244,0.106135,0.353792,0
116.138666667,2.76024,0.42142,0.852614,0.468686,0.422242,0.16053,0.402677,0.836443,0.07528,0.0920625,0.670662,0
116.181333333,2.01949,0.466009,0.47244,0.715391,0.292448,0.221188,0.221478,0.578292,0.0787107,0.409753,0.638473,0.133726
116.224000000,1.68527,0.121876,0.331079,0.703852,0.375727,0.358354,0.160487,0.514086,0.143505,0.570697,0.302184,0.270002
