TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
1.532517007,0.000471778,3.65766,0.147779,0.115369,1.0873,1.16637,0.139981,0.155098,0.975305,0.288266,0.199103,0.741416
1.578956916,0.000530673,3.5326,0.156733,0.116449,1.81476,0.757686,0.221702,0.0552742,0.840537,0.664337,0.193075,0.717656
1.625396825,0.000586422,3.20181,0.227875,0.0948075,2.08094,0.443502,0.239317,0.025877,0.689972,0.996327,0.12449,0.753495
1.671836735,0.00053901,2.69449,0.372081,0.06776,2.09405,0.45129,0.248583,0.0109952,0.820932,1.25944,0.123899,0.791961
1.718276644,0.000528588,2.63162,0.41405,0.0553563,2.18423,0.439006,0.197481,0.00161042,0.980991,1.21946,0.0102672,1.13717
1.764716553,0.000447154,2.65272,0.310673,0.0326403,2.31357,0.456072,0.092892,0.000869115,0.924727,1.29276,0.00324542,1.55773
1.811156463,0.0035106,2.5614,0.0413272,0.0232528,2.49569,0.574554,0,0,0.731451,1.45104,0.00331909,1.68796
1.857596372,0.0025638,2.55631,0.0017824,0.0359593,2.3588,0.634484,0,0,0.718958,1.44077,0.00255357,1.7916
1.904036281,0.00941391,2.52813,0.0393972,0.0607863,2.29944,0.610509,0.0292262,0.000736945,0.718119,1.40768,0.0142456,1.90511
1.950476190,0.00233495,2.36551,0.0987389,0.0543414,2.40676,0.570059,0.100374,0.0116481,0.714041,1.3831,0.0157193,1.95308
1.996916100,0.023585,2.33722,0.104308,0.0642671,2.47673,0.596589,0.0707265,0.00396075,0.716398,1.34294,0.0111437,1.9734
2.043356009,0.0307496,2.39461,0.106219,0.0752648,2.47742,0.63438,0,0.00990987,0.71556,1.40223,0.000818373,1.89036
2.089795918,0,2.42612,0.190069,0.0883342,2.52684,0.657903,0,0.0432459,0.721605,1.35794,0.00135539,1.69573
